age,fnlwgt,education,education-num,occupation,capital-gain,capital-loss,hours-per-week,native-country,income,income_encoded,workclass_Federal-gov,workclass_Local-gov,workclass_Never-worked,workclass_Private,workclass_Self-emp-inc,workclass_Self-emp-not-inc,workclass_State-gov,workclass_Without-pay,marital-status_Married-AF-spouse,marital-status_Married-civ-spouse,marital-status_Married-spouse-absent,marital-status_Never-married,marital-status_Separated,marital-status_Widowed,relationship_Not-in-family,relationship_Other-relative,relationship_Own-child,relationship_Unmarried,relationship_Wife,race_Asian-Pac-Islander,race_Black,race_Other,race_White,sex_Male
0.030670557354391753,-1.0636107451560883,Bachelors,13,Adm-clerical,0.14845289521747937,-0.21665952703259014,-0.03542944697277691,United-States,<=50K,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True
0.8371089803598137,-1.0087070008321521,Bachelors,13,Exec-managerial,-0.14592048355885345,-0.21665952703259014,-2.222153121346258,United-States,<=50K,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
-0.042642026555192065,0.2450785047947841,HS-grad,9,Handlers-cleaners,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,United-States,<=50K,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True
1.0570467320885653,0.4258013560422531,11th,7,Handlers-cleaners,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,United-States,<=50K,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
-0.7757678656510302,1.4081757204012344,Bachelors,13,Prof-specialty,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,Cuba,<=50K,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
-0.11595461046477588,0.8982009411562795,Masters,14,Exec-managerial,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,United-States,<=50K,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0.7637963964502299,-0.2803583815660748,9th,5,Other-service,-0.14592048355885345,-0.21665952703259014,-1.979183824193649,Jamaica,<=50K,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0.9837341481789813,0.18819462542965676,HS-grad,9,Exec-managerial,-0.14592048355885345,-0.21665952703259014,0.3695193816149048,United-States,>50K,1,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
-0.5558301139222788,-1.3642786185159013,Masters,14,Prof-specialty,1.761142380602081,-0.21665952703259014,0.7744682102025865,United-States,>50K,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
0.2506083090831432,-0.28735043735745786,Bachelors,13,Exec-managerial,0.5552135345201951,-0.21665952703259014,-0.03542944697277691,United-States,>50K,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
-0.11595461046477588,0.8591856488135755,Some-college,10,Exec-managerial,-0.14592048355885345,-0.21665952703259014,3.2041611817286766,United-States,>50K,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
-0.6291426978318626,-0.4593284817005277,Bachelors,13,Prof-specialty,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,India,>50K,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
-1.1423307851989493,-0.6395776164309653,Bachelors,13,Adm-clerical,-0.14592048355885345,-0.21665952703259014,-0.8453271041481403,United-States,<=50K,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
-0.482517530012695,0.14439479626493598,Assoc-acdm,12,Sales,-0.14592048355885345,-0.21665952703259014,0.7744682102025865,United-States,<=50K,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True
0.10398314126397556,-0.6443147816012791,Assoc-voc,11,Craft-repair,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,?,>50K,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
